L,N,sample,delta,model,sharp_tail,abel_tail,richardson_tail_k1,m_eff,scaled_cutoff_tau,clean_mode_count,born_mean_formula,born_variance_formula
8,64,41,1.25,born,0.0006342041193327501,0.0012146317493579109,0.0013875540443762993,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,42,0.625,exact,0.00371421289787211,0.0021407662397993936,0.0020676839114683603,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,42,0.625,born,0.003886830713152733,0.0019156547140824127,0.0018441962478277318,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,42,1.25,exact,0.005368497610354531,0.0053022179481818895,0.004544819019494965,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,42,1.25,born,0.00534825048116465,0.00463818854983896,0.004070997764702324,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,43,0.625,exact,0.000926687092074111,0.0009201301333441164,0.0011979663518869963,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,43,0.625,born,0.0013470991367146904,0.0009989638545938257,0.0012752573852966179,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,43,1.25,exact,0.0030108806391631734,0.003192501434894312,0.0030268864799651777,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,43,1.25,born,0.0028493574580510557,0.003385632802461746,0.003179569513270395,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,44,0.625,exact,0.0009895384305485455,0.0005583486312366083,0.0007739522995953222,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,44,0.625,born,0.0013888074262816412,0.0007218295385642544,0.0009173091147271855,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,44,1.25,exact,0.001201595984627908,0.0018003400995614833,0.0019440771136395585,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,44,1.25,born,0.00186682281078625,0.002204941563723076,0.0022555644909414904,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,45,0.625,exact,0.0005047197859809822,0.000982616297656041,0.0011443101001226193,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,45,0.625,born,0.0005478164996896545,0.0007724172548825857,0.0009930195026842804,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,45,1.25,exact,0.004867762021139602,0.0031405931693440883,0.0028450924990279275,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,45,1.25,born,0.0035690999299742582,0.0026346820091499375,0.002528062298039344,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,46,0.625,exact,0.0044158206448356606,0.0023773086355706585,0.0022046143586506926,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,46,0.625,born,0.003530507253473759,0.0018071106196812642,0.0017183962017586426,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,46,1.25,exact,0.006506756453787338,0.005704523370445287,0.004778056385647166,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,46,1.25,born,0.005496464944814025,0.004328622594306628,0.003784545389281748,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,47,0.625,exact,0.00030431892891224615,0.0005249471128301454,0.0009663023963180178,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,47,0.625,born,0.00014654451887526683,0.0003781760346150074,0.0008033122013028043,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,47,1.25,exact,0.0005874173722161905,0.0027048561856844702,0.002644083832907793,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,47,1.25,born,0.0007117637559669281,0.002148886517065656,0.0022613431277674462,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,48,0.625,exact,0.0013777487181632938,0.0010896366681325664,0.0013274252363549535,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,48,0.625,born,0.0009505689628190087,0.000842179802880146,0.001116904281227162,40.0,40.0,4,0.002109375,4.366035461425789e-06
8,64,48,1.25,exact,0.003157658836402029,0.00363018177272525,0.0032683260692318284,80.0,80.0,8,0.00421875,6.3404846191406345e-06
8,64,48,1.25,born,0.0029030414591049306,0.0029847921968417803,0.0028269662739238205,80.0,80.0,8,0.00421875,6.3404846191406345e-06
