sample,components,mean_threshold,variance_threshold,variance_to_mean_squared
314,7,1.6630024783822899,7.435918237861575,2.6887400293731516
315,2,3.0034450551698786,13.87483978830148,1.53811424475045
316,3,1.0409380006840223,4.3945463091615276,4.0556859555181415
317,4,1.3683334280506876,4.699884036525997,2.5101707743466886
318,7,2.0544046684977233,15.926198097192074,3.7734632678703286
319,2,0.28113407030441717,0.10163938322620643,1.2859825043992126
320,6,1.8484216381077279,10.204336860855438,2.986638775377626
321,5,0.8648798669765327,1.6719114775309258,2.235124423100663
322,4,2.3469020395428433,8.651939875391502,1.5708096766333348
323,2,3.877135298504952,15.367499105798453,1.0223068792921135
324,8,2.65651299706731,19.27376162763768,2.7311313872021534
325,3,2.4220264295049208,17.403567881619487,2.9667471627000648
