L,N,sample,time,heat_correlation,scaled_t2_heat
48,2304,3,4.0,0.000533384435372678,0.013334610884316951
48,2304,3,8.0,0.00012752386708017612,0.010329433233494266
48,2304,3,16.0,2.8100088217781728e-05,0.008120925494938919
48,2304,3,32.0,6.669605831077775e-06,0.0072632007500436965
48,2304,3,64.0,1.261338422812608e-06,0.005329154836383269
48,2304,4,0.5,0.03389375327048765,0.07626094485859722
48,2304,4,1.0,0.007997377157457982,0.03198950862983193
48,2304,4,2.0,0.0015872999880123626,0.014285699892111264
48,2304,4,4.0,0.0003551718179394737,0.008879295448486842
48,2304,4,8.0,9.52514661858135e-05,0.0077153687610508935
48,2304,4,16.0,2.4921200747688977e-05,0.007202227016082114
48,2304,4,32.0,6.553784504482654e-06,0.007137071325381611
48,2304,4,64.0,2.3703378708375e-06,0.010014677504288437
48,2304,5,0.5,0.03053172557429708,0.06869638254216844
48,2304,5,1.0,0.007375536214561736,0.029502144858246943
48,2304,5,2.0,0.0015376076328504622,0.01383846869565416
48,2304,5,4.0,0.0003333448352800326,0.008333620882000814
48,2304,5,8.0,8.055065490318285e-05,0.006524603047157811
48,2304,5,16.0,1.9799354039926592e-05,0.005722013317538785
48,2304,5,32.0,5.087319138832165e-06,0.005540090542188228
48,2304,5,64.0,1.2950345826298664e-06,0.005471521111611186
48,2304,6,0.5,0.03091876350610105,0.06956721788872736
48,2304,6,1.0,0.00711430818520723,0.02845723274082892
48,2304,6,2.0,0.0014682368936729572,0.013214132043056614
48,2304,6,4.0,0.0003444611805211733,0.008611529513029332
48,2304,6,8.0,9.445244436063964e-05,0.007650647993211811
48,2304,6,16.0,2.8778717141001474e-05,0.008317049253749426
48,2304,6,32.0,8.907858257344808e-06,0.009700657642248495
48,2304,6,64.0,2.4578173704439347e-06,0.010384278390125625
48,2304,7,0.5,0.033567516066750125,0.07552691115018778
48,2304,7,1.0,0.008394468661200095,0.03357787464480038
48,2304,7,2.0,0.0018562609060674756,0.01670634815460728
48,2304,7,4.0,0.00041980129615317585,0.010495032403829397
48,2304,7,8.0,9.466785993464653e-05,0.007668096654706369
48,2304,7,16.0,2.181208181573765e-05,0.006303691644748181
48,2304,7,32.0,4.5970578357264155e-06,0.005006195983106067
48,2304,7,64.0,8.374693685719075e-07,0.0035383080822163093
